pattern_key	n_exact_terms	min_holm_p_global	max_term_phr_burden_a_T	nonzero_arm_counts	representative_terms	pattern_id
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0	70	7.49643141412216e-17	10	3q:1; 9p:1; 11p:1; 12p:1; 15q:1; 16p:1; 19p:1; 20p:1; 20q:1; Xq:1	GO_BP:ancestor:DNA replication (GO:0006260) | GO_BP:ancestor:DNA-templated DNA replication (GO:0006261) | GO_BP:ancestor:regulation of transcription by RNA polymerase I (GO:0006356) | GO_BP:ancestor:nucleus organization (GO:0006997) | GO_BP:ancestor:nucleolus organization (GO:0007000) | GO_BP:ancestor:actin filament organization (GO:0007015) | GO_BP:ancestor:regulation of sister chromatid cohesion (GO:0007063) | GO_BP:ancestor:cytosolic transport (GO:0016482)	P002
2,0,0,2,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0	19	2.96843684510451e-25	19	1p:2; 2q:2; 3q:2; 5q:2; 7p:2; 9q:2; 11p:2; 16q:2; 19p:2; 20q:1	GO_BP:ancestor:spermatogenesis (GO:0007283) | GO_BP:ancestor:cell migration (GO:0016477) | GO_BP:ancestor:spermatid differentiation (GO:0048515) | GO_BP:direct:neuron migration (GO:0001764) | GO_BP:direct:spermatid development (GO:0007286) | GO_BP:direct:intracellular protein localization (GO:0008104) | GO_BP:direct:cytoskeleton-dependent cytokinesis (GO:0061640) | GO_BP:direct:protein localization to perinuclear region of cytoplasm (GO:1905719)	P008
0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	14	8.95590269168089e-132	65	4q:33; 10q:32	GO_BP:ancestor:cell death (GO:0008219) | GO_BP:ancestor:negative regulation of cell cycle process (GO:0010948) | GO_BP:ancestor:programmed cell death (GO:0012501) | GO_BP:ancestor:negative regulation of cell cycle (GO:0045786) | GO_BP:ancestor:regulation of G0 to G1 transition (GO:0070316) | GO_BP:direct:apoptotic process (GO:0006915) | GO_BP:direct:negative regulation of cell population proliferation (GO:0008285) | GO_BP:direct:negative regulation of G0 to G1 transition (GO:0070317)	P010
2,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0	8	3.92698538709776e-23	14	1p:2; 3q:2; 5q:2; 6q:2; 11p:2; 15q:2; 19p:2	GO_BP:ancestor:G protein-coupled receptor signaling pathway (GO:0007186) | GO_BP:ancestor:cytokine-mediated signaling pathway (GO:0019221) | GO_BP:ancestor:chemokine (C-X-C motif) ligand 12 signaling pathway (GO:0038146) | GO_BP:ancestor:C-X-C chemokine receptor CXCR4 signaling pathway (GO:0038159) | GO_BP:ancestor:chemokine-mediated signaling pathway (GO:0070098) | GO_BP:ancestor:response to chemokine (GO:1990868) | GO_BP:ancestor:cellular response to chemokine (GO:1990869) | GO_BP:direct:CXCL12-activated CXCR4 signaling pathway (GO:0038160)	P005
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0	6	0.00121576481134983	4	9q:1; 16p:1; 18p:1; Xq:1	GO_BP:ancestor:response to interleukin-9 (GO:0071104) | GO_BP:ancestor:cellular response to interleukin-9 (GO:0071355) | GO_BP:direct:interleukin-9-mediated signaling pathway (GO:0038113) | GO_MF:direct:interleukin-9 receptor activity (GO:0004919) | GO_MF:direct:interleukin-9 binding (GO:0019983) | Reactome:direct:Interleukin-9 signaling (R-HSA-8985947)	P032
1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0	5	1.27333056234791e-05	9	1p:1; 2q:1; 3q:1; 5q:1; 7p:1; 11p:1; 16q:1; 19p:1; 20q:1	GO_BP:ancestor:learning or memory (GO:0007611) | GO_BP:ancestor:biological process involved in intraspecies interaction between organisms (GO:0051703) | GO_BP:direct:learning (GO:0007612) | GO_BP:direct:memory (GO:0007613) | GO_BP:direct:social behavior (GO:0035176)	P009
1,0,0,0,0,1,0,33,0,1,0,0,1,0,0,0,0,1,0,32,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0	3	4.71855241123185e-72	74	1p:1; 3q:1; 4q:33; 5q:1; 7p:1; 9q:1; 10q:32; 11p:1; 16q:1; 19p:1; Xp:1	GO_BP:direct:positive regulation of transcription by RNA polymerase II (GO:0045944) | GO_MF:ancestor:DNA-binding transcription activator activity (GO:0001216) | GO_MF:direct:DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228)	P039
1,0,0,0,0,2,0,33,0,1,0,0,1,0,0,0,1,1,0,32,2,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,1,1,0,0,0,0,1,1,0,0	3	8.36200279406246e-58	84	1p:1; 3q:2; 4q:33; 5q:1; 7p:1; 9p:1; 9q:1; 10q:32; 11p:2; 12p:1; 15q:1; 16p:1; 16q:1; 19p:2; 20p:1; 20q:1; Xp:1; Xq:1	GO_BP:ancestor:positive regulation of DNA-templated transcription (GO:0045893) | GO_BP:ancestor:positive regulation of RNA metabolic process (GO:0051254) | GO_BP:ancestor:positive regulation of RNA biosynthetic process (GO:1902680)	P023
5,1,0,2,0,8,0,36,0,6,0,2,2,0,0,0,2,4,0,35,8,0,2,0,0,0,0,0,0,4,3,3,0,1,1,0,8,1,4,5,2,1,0,0,4,8,0,0	3	1.82434125503418e-09	158	1p:5; 1q:1; 2q:2; 3q:8; 4q:36; 5q:6; 6q:2; 7p:2; 9p:2; 9q:4; 10q:35; 11p:8; 12p:2; 15q:4; 16p:3; 16q:3; 17q:1; 18p:1; 19p:8; 19q:1; 20p:4; 20q:5; 21p:2; 21q:1; Xp:4; Xq:8	GO_BP:ancestor:regulation of biological process (GO:0050789) | GO_BP:ancestor:regulation of cellular process (GO:0050794) | GO_BP:ancestor:biological regulation (GO:0065007)	P028
2,1,0,2,0,3,0,35,0,3,0,0,2,0,0,0,1,3,0,34,3,0,1,0,0,0,0,0,0,1,1,3,0,1,0,0,3,1,2,2,0,1,0,0,4,3,0,0	3	1.31798730748763e-07	112	1p:2; 1q:1; 2q:2; 3q:3; 4q:35; 5q:3; 7p:2; 9p:1; 9q:3; 10q:34; 11p:3; 12p:1; 15q:1; 16p:1; 16q:3; 17q:1; 19p:3; 19q:1; 20p:2; 20q:2; 21q:1; Xp:4; Xq:3	GO_CC:ancestor:membrane-enclosed lumen (GO:0031974) | GO_CC:ancestor:organelle lumen (GO:0043233) | GO_CC:ancestor:intracellular organelle lumen (GO:0070013)	P045
2,0,0,2,0,2,0,0,0,2,0,0,2,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0	3	7.88043131418004e-07	23	1p:2; 2q:2; 3q:2; 5q:2; 7p:2; 9q:3; 10p:1; 11p:2; 16q:2; 18p:1; 19p:2; 20q:1; Xp:1	GO_MF:ancestor:guanyl nucleotide binding (GO:0019001) | GO_MF:ancestor:guanyl ribonucleotide binding (GO:0032561) | GO_MF:direct:GTP binding (GO:0005525)	P057
2,0,0,2,0,3,0,0,0,2,0,0,2,0,0,0,1,3,1,0,3,0,1,0,0,0,0,0,0,1,1,2,0,0,1,0,3,0,1,2,0,0,0,0,0,1,0,0	3	1.10184996139963e-06	32	1p:2; 2q:2; 3q:3; 5q:2; 7p:2; 9p:1; 9q:3; 10p:1; 11p:3; 12p:1; 15q:1; 16p:1; 16q:2; 18p:1; 19p:3; 20p:1; 20q:2; Xq:1	GO_MF:ancestor:pyrophosphatase activity (GO:0016462) | GO_MF:ancestor:hydrolase activity, acting on acid anhydrides (GO:0016817) | GO_MF:ancestor:ribonucleoside triphosphate phosphatase activity (GO:0017111)	P056
1,0,0,1,0,1,0,33,0,1,0,0,1,0,0,0,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0	2	2.63802126312237e-74	74	1p:1; 2q:1; 3q:1; 4q:33; 5q:1; 7p:1; 10q:32; 11p:1; 16q:1; 19p:1; 20q:1	GO_MF:ancestor:transcription regulatory region nucleic acid binding (GO:0001067) | GO_MF:direct:RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977)	P053
0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2	1.46627191025087e-69	66	4q:33; 9q:1; 10q:32	GO_CC:ancestor:nuclear envelope (GO:0005635) | GO_CC:ancestor:organelle envelope (GO:0031967)	P040
1,0,0,1,0,1,0,33,0,1,0,0,1,0,0,0,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0	2	1.08988573536165e-56	75	1p:1; 2q:1; 3q:1; 4q:33; 5q:1; 7p:1; 10q:32; 11p:1; 16q:1; 19p:1; 20q:1; Xp:1	GO_MF:ancestor:double-stranded DNA binding (GO:0003690) | GO_MF:ancestor:DNA-binding transcription factor activity (GO:0003700)	P055
0,0,0,0,0,1,0,33,0,0,0,0,0,0,0,0,1,0,0,32,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0	2	4.34319730517032e-53	75	3q:1; 4q:33; 9p:1; 10q:32; 11p:1; 12p:1; 15q:1; 16p:1; 19p:1; 20p:1; 20q:1; Xq:1	GO_BP:ancestor:regulation of cell cycle process (GO:0010564) | GO_BP:ancestor:regulation of cell cycle (GO:0051726)	P015
2,0,0,1,0,2,0,33,0,2,0,0,2,0,0,0,0,1,0,32,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0	2	1.90249646293787e-50	83	1p:2; 2q:1; 3q:2; 4q:33; 5q:2; 7p:2; 9q:1; 10q:32; 11p:2; 16q:2; 19p:2; 20q:1; Xp:1	GO_MF:ancestor:transcription regulator activity (GO:0140110) | GO_MF:direct:DNA-binding transcription factor activity, RNA polymerase II-specific (GO:0000981)	P060
1,0,0,0,0,2,0,33,0,1,0,0,1,0,0,0,1,1,0,32,2,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,1,2,0,0,0,0,1,2,0,0	2	1.25598987109992e-24	86	1p:1; 3q:2; 4q:33; 5q:1; 7p:1; 9p:1; 9q:1; 10q:32; 11p:2; 12p:1; 15q:1; 16p:1; 16q:1; 19p:2; 20p:1; 20q:2; Xp:1; Xq:2	GO_BP:ancestor:positive regulation of biosynthetic process (GO:0009891) | GO_BP:ancestor:positive regulation of macromolecule biosynthetic process (GO:0010557)	P012
2,0,0,1,0,3,0,33,0,2,0,0,2,0,0,0,1,1,0,32,3,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,3,0,1,3,0,0,0,0,1,2,0,0	2	3.31754241662431e-19	95	1p:2; 2q:1; 3q:3; 4q:33; 5q:2; 7p:2; 9p:1; 9q:1; 10q:32; 11p:3; 12p:1; 15q:1; 16p:1; 16q:2; 19p:3; 20p:1; 20q:3; Xp:1; Xq:2	GO_BP:ancestor:regulation of nucleobase-containing compound metabolic process (GO:0019219) | GO_BP:ancestor:regulation of RNA metabolic process (GO:0051252)	P017
3,1,0,4,0,5,0,34,0,4,0,0,3,0,0,0,2,4,1,33,5,0,2,0,0,0,0,0,0,2,2,4,0,1,1,0,5,1,3,4,0,1,0,0,3,2,0,0	2	1.61580587942654e-16	130	1p:3; 1q:1; 2q:4; 3q:5; 4q:34; 5q:4; 7p:3; 9p:2; 9q:4; 10p:1; 10q:33; 11p:5; 12p:2; 15q:2; 16p:2; 16q:4; 17q:1; 18p:1; 19p:5; 19q:1; 20p:3; 20q:4; 21q:1; Xp:3; Xq:2	GO_CC:ancestor:membraneless organelle (GO:0043228) | GO_CC:ancestor:intracellular membraneless organelle (GO:0043232)	P047
2,0,0,2,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0	2	2.91908790820224e-13	21	1p:2; 2q:2; 3q:2; 5q:2; 7p:2; 9q:2; 11p:2; 16q:2; 19p:2; 20q:1; 21p:2	GO_BP:ancestor:cytokinesis (GO:0000910) | GO_BP:ancestor:cell division (GO:0051301)	P001
1,0,0,0,0,3,0,35,0,1,0,0,1,0,0,0,2,1,0,34,3,0,2,0,0,0,0,0,0,2,2,1,0,0,0,0,3,0,2,3,2,0,0,0,2,6,0,0	2	9.23795842386272e-12	106	1p:1; 3q:3; 4q:35; 5q:1; 7p:1; 9p:2; 9q:1; 10q:34; 11p:3; 12p:2; 15q:2; 16p:2; 16q:1; 19p:3; 20p:2; 20q:3; 21p:2; Xp:2; Xq:6	GO_BP:ancestor:positive regulation of biological process (GO:0048518) | GO_BP:ancestor:positive regulation of cellular process (GO:0048522)	P025
2,0,0,1,0,3,0,33,0,2,0,0,2,0,0,0,1,1,0,32,4,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,3,0,2,3,0,0,0,0,1,2,0,0	2	7.2175910329896e-11	97	1p:2; 2q:1; 3q:3; 4q:33; 5q:2; 7p:2; 9p:1; 9q:1; 10q:32; 11p:4; 12p:1; 15q:1; 16p:1; 16q:2; 19p:3; 20p:2; 20q:3; Xp:1; Xq:2	GO_BP:ancestor:regulation of gene expression (GO:0010468) | GO_BP:ancestor:regulation of macromolecule biosynthetic process (GO:0010556)	P014
2,0,0,0,0,3,0,0,0,2,0,2,0,0,0,0,1,1,0,0,3,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,1,0,0	2	1.34313858964466e-09	25	1p:2; 3q:3; 5q:2; 6q:2; 9p:1; 9q:1; 11p:3; 12p:1; 15q:3; 16p:1; 19p:3; 20p:1; 20q:1; Xq:1	GO_MF:ancestor:ubiquitin-like protein ligase binding (GO:0044389) | GO_MF:direct:ubiquitin protein ligase binding (GO:0031625)	P059
2,0,0,2,0,2,0,0,0,2,0,0,2,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0	2	1.91802860559371e-09	20	1p:2; 2q:2; 3q:2; 5q:2; 7p:2; 9q:2; 10p:1; 11p:2; 16q:2; 19p:2; 20q:1	GO_BP:ancestor:germ cell development (GO:0007281) | GO_BP:ancestor:cellular process involved in reproduction in multicellular organism (GO:0022412)	P007
0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0	2	4.07971498364372e-07	11	1q:1; 2q:1; 4q:1; 5q:1; 9q:1; 10q:1; 16q:1; 17q:1; 19q:1; 20p:1; 21q:1	GO_MF:direct:rRNA binding (GO:0019843) | GO_MF:direct:TORC2 complex binding (GO:1904841)	P064
